system:index,SiteID,max,med,min,.geo
0,NARS_WQX-SC04-0039,99,48.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.8996,32.74]}"
1,NARS_WQX-SC04-0040,99,87.00000000000001,26,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.1259,32.6081]}"
2,NARS_WQX-SC04-0041,99,49.0,19,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.5005,32.3517]}"
3,NARS_WQX-SC04-0042,98,90.99999999999999,30,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.2173,32.6862]}"
4,NARS_WQX-SC04-0043,99,66.0,28,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.6917,32.8724]}"
5,NARS_WQX-SC04-0044,92,67.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.2094,32.6508]}"
6,NARS_WQX-SC04-0045,99,76.0,39,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.7543,32.8448]}"
7,NARS_WQX-SC04-0046,98,50.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.5085,32.5406]}"
8,NARS_WQX-SC04-0048,98,44.00000000000001,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.6696,32.5934]}"
9,NARS_WQX-SC04-0050,97,60.99999999999999,33,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.618,32.4715]}"
10,NARS_WQX-SC04-0051,82,35.00000000000001,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.5831,33.031]}"
11,NARS_WQX-SC04-0052,94,64.0,24,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.6266,32.2716]}"
12,NARS_WQX-SC04-0053,98,35.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.3354,32.5356]}"
13,NARS_WQX-SC04-0054,98,58.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.822,32.2208]}"
14,NARS_WQX-SC04-0055,91,63.00000000000001,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.311,32.5222]}"
15,NARS_WQX-SC04-0056,99,88.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.3253,32.4934]}"
16,NARS_WQX-SC04-0057,98,69.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.6009,32.421]}"
17,NARS_WQX-SC04-0058,15,15.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.138,32.9102]}"
18,NARS_WQX-SC04-0059,96,35.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.1294,32.786]}"
19,NARS_WQX-SC04-0060,81,29.000000000000004,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.0004,32.7344]}"
20,NARS_WQX-SC05-0001,99,99.0,44,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.2479,32.65402]}"
21,NARS_WQX-SC05-0003,99,73.00000000000001,17,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.22095,32.57146]}"
22,NARS_WQX-SC05-0004,99,99.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.19239,33.23833]}"
23,NARS_WQX-SC05-0005,99,99.0,86,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.57638,32.50086]}"
24,NARS_WQX-SC05-0006,99,89.99999999999999,24,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.52306,32.32822]}"
25,NARS_WQX-SC05-0007,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.79176,32.40047]}"
26,NARS_WQX-SC05-0008,97,91.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.34725,33.17299]}"
27,NARS_WQX-SC05-0009,99,49.99999999999999,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.50748,32.43274]}"
28,NARS_WQX-SC05-0011,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.61729,32.50566]}"
29,NARS_WQX-SC05-0012,99,99.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.80637,32.15794]}"
30,NARS_WQX-SC05-0013,99,98.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.81559,32.48664]}"
31,NARS_WQX-SC05-0014,99,99.0,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.76254,32.30936]}"
32,NARS_WQX-SC05-0015,99,97.99999999999997,33,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.64191,32.36655]}"
33,NARS_WQX-SC05-0016,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.84103,32.29963]}"
34,NARS_WQX-SC05-0017,99,96.0,29,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.81168,32.3505]}"
35,NARS_WQX-SC05-0018,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.69114,32.2801]}"
36,NARS_WQX-SC05-0019,99,98.00000000000001,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.79033,32.34846]}"
37,NARS_WQX-SC05-0020,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.20297,33.24511]}"
38,NARS_WQX-SC05-0021,99,99.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.34334,32.48276]}"
39,NARS_WQX-SC05-0023,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.45835,32.46965]}"
40,NARS_WQX-SC05-0024,99,97.99999999999999,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.93485,32.66459]}"
41,NARS_WQX-SC05-0025,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.43246,32.4831]}"
42,NARS_WQX-SC05-0026,96,42.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.62601,32.54076]}"
43,NARS_WQX-SC05-0028,99,65.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.2116,32.60793]}"
44,NARS_WQX-SC05-0029,99,84.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.48735,32.32364]}"
45,NARS_WQX-SC05-0030,94,77.0,19,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.86791,32.43623]}"
46,NARS_WQX-SC05-0031,96,29.000000000000004,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.95673,32.7471]}"
47,NARS_WQX-SC05-0032,84,68.0,47,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.25188,32.62918]}"
48,NARS_WQX-SC05-0033,96,65.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.82256,32.86558]}"
49,NARS_WQX-SC05-0034,99,35.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.63504,32.26831]}"
50,NARS_WQX-SC05-0036,99,55.0,20,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.84331,32.16005]}"
51,NARS_WQX-SC05-0037,97,95.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.9519,32.15387]}"
52,NARS_WQX-SC05-0038,99,91.0,35,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.01981,33.55408]}"
53,NARS_WQX-SC05-0039,98,44.0,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.01811,32.66878]}"
