system:index,SiteID,max,med,min,.geo
0,21FLPDEM_WQX-W3-B-11-06,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.8264,27.93026]}"
1,21FLPDEM_WQX-W3-C-11-05,99,99.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.8151,27.96301]}"
2,21FLPDEM_WQX-W3-C-11-06,100,99.0,95,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.82841,27.92437]}"
3,21FLPDEM_WQX-W3-D-11-05,99,96.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.81342,27.94483]}"
4,21FLPDEM_WQX-W3-D-11-06,99,95.99999999999999,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.85,27.87627]}"
5,21FLPDEM_WQX-W4-A-11-05,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.79825,27.80885]}"
6,21FLPDEM_WQX-W4-A-11-06,99,97.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.8284,27.83738]}"
7,21FLPDEM_WQX-W4-B-11-05,99,97.0,11,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.80316,27.82369]}"
8,21FLPDEM_WQX-W4-B-11-06,99,99.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.80838,27.8096]}"
9,21FLPDEM_WQX-W4-C-11-05,99,99.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.84187,27.85139]}"
10,21FLPDEM_WQX-W4-C-11-06,100,99.0,39,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.82981,27.829]}"
11,21FLPDEM_WQX-W4-D-11-05,99,99.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.8136,27.82018]}"
12,21FLPDEM_WQX-W4-D-11-06,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.79846,27.80928]}"
13,21FLPDEM_WQX-W5-A-11-05,97,52.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.76074,27.8256]}"
14,21FLPDEM_WQX-W5-A-11-06,97,56.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.75654,27.82661]}"
15,21FLPDEM_WQX-W5-B-11-05,99,90.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.7674,27.81927]}"
16,21FLPDEM_WQX-W5-B-11-06,40,19.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.77087,27.83772]}"
17,21FLPDEM_WQX-W5-C-11-05,99,96.99999999999999,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.76852,27.82545]}"
18,21FLPDEM_WQX-W5-C-11-06,99,96.99999999999999,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.7683,27.82007]}"
19,21FLPDEM_WQX-W5-D-11-05,99,94.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.76507,27.82258]}"
20,21FLPDEM_WQX-W5-D-11-06,98,94.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.76985,27.8347]}"
21,21FLPDEM_WQX-W6-A-11-05,99,99.0,64,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.74777,27.77656]}"
22,21FLPDEM_WQX-W6-A-11-06,100,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.7731,27.79735]}"
23,21FLPDEM_WQX-W6-B-11-05,99,99.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.7679,27.80333]}"
24,21FLPDEM_WQX-W6-B-11-06,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.78384,27.80679]}"
25,21FLPDEM_WQX-W6-C-11-05,100,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.77735,27.8019]}"
26,21FLPDEM_WQX-W6-C-11-06,100,99.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.77946,27.79564]}"
27,21FLPDEM_WQX-W6-D-11-05,99,98.0,61,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.76208,27.80988]}"
28,21FLPDEM_WQX-W6-D-11-06,100,99.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.79119,27.80072]}"
29,21FLPDEM_WQX-W7-A-11-05,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.72348,27.73737]}"
30,21FLPDEM_WQX-W7-A-11-06,100,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.73526,27.74093]}"
31,21FLPDEM_WQX-W7-B-11-05,100,99.0,51,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.7428,27.75713]}"
32,21FLPDEM_WQX-W7-B-11-06,100,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.7145,27.72154]}"
33,21FLPDEM_WQX-W7-C-11-05,99,92.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.74688,27.75065]}"
34,21FLPDEM_WQX-W7-C-11-06,100,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.73459,27.7247]}"
35,21FLPDEM_WQX-W7-D-11-05,99,99.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.76281,27.7667]}"
36,21FLPDEM_WQX-W7-D-11-06,99,99.0,85,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.69386,27.73176]}"
37,21FLPDEM_WQX-W8-A-11-06,100,99.0,19,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.67569,27.66798]}"
38,21FLPDEM_WQX-W8-A3-11-05,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.69904,27.69081]}"
39,21FLPDEM_WQX-W8-B-11-06,99,99.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.71897,27.62471]}"
40,21FLPDEM_WQX-W8-B4-11-05,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.68787,27.65866]}"
41,21FLPDEM_WQX-W8-C-11-05,100,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.72894,27.64598]}"
42,21FLPDEM_WQX-W8-D-11-05,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.70275,27.65747]}"
43,21FLPDEM_WQX-W8-D-11-06,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.66871,27.69218]}"
44,21FLPNS_WQX-12SEAS959,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.5043333,30.0539999]}"
45,21FLPNS_WQX-22010B26,99,99.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.1330277,29.6989166]}"
46,21FLPNS_WQX-26823,84,45.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.1917736,30.2305694]}"
47,21FLPNS_WQX-26843,98,95.99999999999999,56,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.1775277,30.1567777]}"
48,21FLPNS_WQX-304302608512013,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.2001638,30.7175777]}"
49,21FLPNS_WQX-304734908513199,5,3.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.2221944,30.7930277]}"
50,21FLPNS_WQX-304858308514027,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.2340833,30.8161944]}"
51,21FLPNS_WQX-31010018,94,92.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.0152778,30.3916667]}"
52,21FLPNS_WQX-31010079,94,90.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.0305556,30.425]}"
53,21FLPNS_WQX-31010092,95,88.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.02,30.4319444]}"
54,21FLPNS_WQX-31010094,93,54.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.0366667,30.375]}"
55,21FLPNS_WQX-31010247,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.8871361,30.6096472]}"
56,21FLPNS_WQX-31010249,95,89.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.0121944,29.93875]}"
57,21FLPNS_WQX-32010764,98,96.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.429317,30.4644335]}"
58,21FLPNS_WQX-32010R29,95,72.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.1059,30.3715]}"
59,21FLPNS_WQX-32010R30,93,30.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.1057222,30.3704722]}"
60,21FLPNS_WQX-32010R31,91,12.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.1071111,30.3693333]}"
61,21FLPNS_WQX-32010R32,13,2.5,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.1081111,30.3650277]}"
62,21FLPNS_WQX-32020195,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.5856388,30.6916944]}"
63,21FLPNS_WQX-32020205,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.5729722,30.6029444]}"
64,21FLPNS_WQX-32030010,96,93.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.7679278,30.3297528]}"
65,21FLPNS_WQX-32030085,97,95.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.1461111,30.3289167]}"
66,21FLPNS_WQX-32030089,97,95.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.0793611,30.3049722]}"
67,21FLPNS_WQX-320300N4,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.5583333,30.1166667]}"
68,21FLPNS_WQX-320300P9,99,97.99999999999996,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4092222,30.0468056]}"
69,21FLPNS_WQX-32030129,97,95.00000000000003,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4327222,30.0728611]}"
70,21FLPNS_WQX-32030130,93,80.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4264722,30.0847777]}"
71,21FLPNS_WQX-32030132,95,56.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4176666,30.09375]}"
72,21FLPNS_WQX-32030135,79,10.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.42194,30.10546]}"
73,21FLPNS_WQX-33010143,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.322535,30.5729919]}"
74,21FLPNS_WQX-33010145,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.5830444,30.8128833]}"
75,21FLPNS_WQX-33010146,16,5.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.4978527,30.7199472]}"
76,21FLPNS_WQX-33020022,90,64.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.235,30.5927778]}"
77,21FLPNS_WQX-33020027,89,47.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.175,30.9958333]}"
78,21FLPNS_WQX-33020034,87,33.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2216667,30.5580556]}"
79,21FLPNS_WQX-33020037,96,95.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2159597,30.563386]}"
80,21FLPNS_WQX-33020050,2,2.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2225736,30.4841458]}"
81,21FLPNS_WQX-33020051,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2213,30.480675]}"
82,21FLPNS_WQX-33020058,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2174444,30.4752805]}"
83,21FLPNS_WQX-330200B9,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.1666667,30.525]}"
84,21FLPNS_WQX-330200D5,99,99.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.1416667,30.5083333]}"
85,21FLPNS_WQX-330200E2,99,98.99999999999997,96,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.1333333,30.5244444]}"
86,21FLPNS_WQX-33020120,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.31,30.3894444]}"
87,21FLPNS_WQX-33020228,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.21744,30.47528]}"
88,21FLPNS_WQX-33020229,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.1662,30.9659]}"
89,21FLPNS_WQX-33020231,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.174159,30.6025169]}"
90,21FLPNS_WQX-33020C12,99,99.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.1333333,30.5416667]}"
91,21FLPNS_WQX-33020E13,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.1166667,30.5083333]}"
92,21FLPNS_WQX-33020E27,98,96.99999999999999,95,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.9338333,30.4567222]}"
93,21FLPNS_WQX-33020JE2,54,29.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2555556,30.4166667]}"
94,21FLPNS_WQX-3302A4934,3,2.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.135766,30.559117]}"
95,21FLPNS_WQX-3302LA13,98,97.99999999999997,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2763889,30.3722222]}"
96,21FLPNS_WQX-33030004,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.9044444,30.8613889]}"
97,21FLPNS_WQX-33030025,21,10.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.8666667,30.4408333]}"
98,21FLPNS_WQX-33030050,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.0871667,30.3760278]}"
99,21FLPNS_WQX-33030055,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.06226,30.38952]}"
