system:index,SiteID,max,med,min,.geo
0,R10BUNKER-LC-50,91,27.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.3231,47.5547]}"
1,R10BUNKER-LC-60,95,75.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.7322,47.4786]}"
2,R10BUNKER-MC-262,38,38.0,21,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0591,47.5335]}"
3,R10BUNKER-NF-1,39,21.0,10,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2404,47.6106]}"
4,R10BUNKER-NF-13,78,48.0,17,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9282,47.6814]}"
5,R10BUNKER-NF-2,44,24.0,16,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9817,47.6347]}"
6,R10BUNKER-NF-50,64,33.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2528,47.5722]}"
7,R10BUNKER-NM-13,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9145,47.4867]}"
8,R10BUNKER-NM-289,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8505,47.546]}"
9,R10BUNKER-NM-290,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8525,47.5448]}"
10,R10BUNKER-NM-291,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8567,47.5405]}"
11,R10BUNKER-NM-292,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8563,47.5399]}"
12,R10BUNKER-NM-293,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8617,47.5369]}"
13,R10BUNKER-NM-294,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8676,47.5335]}"
14,R10BUNKER-NM-295,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8737,47.5296]}"
15,R10BUNKER-NM-296,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.885,47.5215]}"
16,R10BUNKER-NM-297,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8896,47.5145]}"
17,R10BUNKER-NM-298,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.893,47.5131]}"
18,R10BUNKER-NM-299,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8984,47.5145]}"
19,R10BUNKER-NM-300,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8993,47.5141]}"
20,R10BUNKER-NM-301,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9016,47.5084]}"
21,R10BUNKER-NM-302,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.904,47.5039]}"
22,R10BUNKER-NM-303,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9062,47.4951]}"
23,R10BUNKER-NM-304,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9157,47.4857]}"
24,R10BUNKER-NM-305,21,21.0,21,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9227,47.4749]}"
25,R10BUNKER-NM-411,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8735,47.5341]}"
26,R10BUNKER-NM-412,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8712,47.5314]}"
27,R10BUNKER-NM-435,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8761,47.5281]}"
28,R10BUNKER-NM-436,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8767,47.5276]}"
29,R10BUNKER-NM-437,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8771,47.5274]}"
30,R10BUNKER-NM-438,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8776,47.5271]}"
31,R10BUNKER-NM-439,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8781,47.5269]}"
32,R10BUNKER-NM-440,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8789,47.5265]}"
33,R10BUNKER-NM-443,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8996,47.5135]}"
34,R10BUNKER-NM-445,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9027,47.506]}"
35,R10BUNKER-NM-448,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8996,47.5134]}"
36,R10BUNKER-NM-450,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9004,47.5107]}"
37,R10BUNKER-NM-452,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9016,47.5086]}"
38,R10BUNKER-NM-458,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9203,47.4812]}"
39,R10BUNKER-NM-8,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8958,47.5137]}"
40,R10BUNKER-PC-100,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2418,47.5138]}"
41,R10BUNKER-PC-305,13,9.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2248,47.5511]}"
42,R10BUNKER-PC-306,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1722,47.4358]}"
43,R10BUNKER-PC-307,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1971,47.4658]}"
44,R10BUNKER-PC-308,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2078,47.4705]}"
45,R10BUNKER-PC-309,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2191,47.4729]}"
46,R10BUNKER-PC-310,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2173,47.4773]}"
47,R10BUNKER-PC-311,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2414,47.4875]}"
48,R10BUNKER-PC-312,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.234,47.4859]}"
49,R10BUNKER-PC-313,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2288,47.5443]}"
50,R10BUNKER-PC-314,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2262,47.5466]}"
51,R10BUNKER-PC-315,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2258,47.5486]}"
52,R10BUNKER-PC-322,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1779,47.4779]}"
53,R10BUNKER-PC-323,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1793,47.4785]}"
54,R10BUNKER-PC-324,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1964,47.4841]}"
55,R10BUNKER-PC-325,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1941,47.4892]}"
56,R10BUNKER-PC-326,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2157,47.4778]}"
57,R10BUNKER-PC-338,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1973,47.4648]}"
58,R10BUNKER-PC-339,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2418,47.5109]}"
59,R10BUNKER-PC-360,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2216,47.4772]}"
60,R10BUNKER-PR-14,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9687,47.6568]}"
61,R10BUNKER-PR-16,78,73.0,66,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9217,47.6446]}"
62,R10BUNKER-PR-17,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.885,47.6714]}"
63,R10BUNKER-PR-18,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8993,47.6514]}"
64,R10BUNKER-PR-19,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8286,47.7095]}"
65,R10BUNKER-PR-20,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8221,47.7081]}"
66,R10BUNKER-PR-21,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7504,47.6685]}"
67,R10BUNKER-PR-22,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7446,47.665]}"
68,R10BUNKER-PR-23,78,73.0,51,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9201,47.6437]}"
69,R10BUNKER-PR-24,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8963,47.6247]}"
70,R10BUNKER-PR-25,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8647,47.6259]}"
71,R10BUNKER-PR-26,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8467,47.6246]}"
72,R10BUNKER-PR-27,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8484,47.622]}"
73,R10BUNKER-PR-28,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8396,47.6219]}"
74,R10BUNKER-PR-29,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8409,47.6188]}"
75,R10BUNKER-PR-30,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.827,47.6133]}"
76,R10BUNKER-PR-31,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8177,47.608]}"
77,R10BUNKER-PR-32,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7985,47.6009]}"
78,R10BUNKER-PR-33,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7949,47.5997]}"
79,R10BUNKER-PR-34,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7982,47.5967]}"
80,R10BUNKER-PR-35,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7967,47.596]}"
81,R10BUNKER-PR-36,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.771,47.5934]}"
82,R10BUNKER-PR-37,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7505,47.5978]}"
83,R10BUNKER-PR-38,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7522,47.5952]}"
84,R10BUNKER-PR-41,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8661,47.6269]}"
85,R10BUNKER-PR-42,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8645,47.6265]}"
86,R10BUNKER-PR-43,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8839,47.6243]}"
87,R10BUNKER-PR-44,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8885,47.6248]}"
88,R10BUNKER-PR-45,17,17.0,17,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8613,47.6264]}"
89,R10BUNKER-PR-48,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7717,47.6858]}"
90,R10BUNKER-PR-49,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7626,47.6797]}"
91,R10BUNKER-SF-10,40,22.0,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9135,47.4725]}"
92,R10BUNKER-SF-100,31,26.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1633,47.5472]}"
93,R10BUNKER-SF-101,34,26.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1631,47.5458]}"
94,R10BUNKER-SF-102,65,50.0,25,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1494,47.541]}"
95,R10BUNKER-SF-103,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1544,47.5417]}"
96,R10BUNKER-SF-104,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1389,47.5352]}"
97,R10BUNKER-SF-108,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1804,47.5174]}"
98,R10BUNKER-SF-11,21,18.0,18,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9196,47.4718]}"
99,R10BUNKER-SF-110,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1674,47.5447]}"
100,R10BUNKER-SF-12,21,21.0,21,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9254,47.4741]}"
101,R10BUNKER-SF-15,23,23.0,23,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9351,47.4801]}"
102,R10BUNKER-SF-16,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9441,47.4871]}"
103,R10BUNKER-SF-183,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1184,47.5359]}"
104,R10BUNKER-SF-184,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1284,47.5281]}"
105,R10BUNKER-SF-185,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1288,47.5274]}"
106,R10BUNKER-SF-191,10,9.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2213,47.5476]}"
107,R10BUNKER-SF-20,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9544,47.4932]}"
108,R10BUNKER-SF-201,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.6945,47.4673]}"
109,R10BUNKER-SF-202,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7227,47.4656]}"
110,R10BUNKER-SF-204,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.734,47.4653]}"
111,R10BUNKER-SF-205,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.734,47.4668]}"
112,R10BUNKER-SF-206,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7459,47.4707]}"
113,R10BUNKER-SF-207,90,69.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7568,47.4723]}"
114,R10BUNKER-SF-208,,12.0,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7662,47.4734]}"
115,R10BUNKER-SF-209,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7667,47.4742]}"
116,R10BUNKER-SF-210,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7695,47.4722]}"
117,R10BUNKER-SF-211,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7783,47.4685]}"
118,R10BUNKER-SF-212,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7846,47.4718]}"
119,R10BUNKER-SF-213,49,42.0,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7911,47.4704]}"
120,R10BUNKER-SF-214,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7959,47.4698]}"
121,R10BUNKER-SF-215,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7968,47.4704]}"
122,R10BUNKER-SF-216,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8007,47.4762]}"
123,R10BUNKER-SF-218,34,20.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8163,47.4658]}"
124,R10BUNKER-SF-219,34,20.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8163,47.465]}"
125,R10BUNKER-SF-22,28,28.0,28,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9898,47.5066]}"
126,R10BUNKER-SF-220,38,23.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8185,47.4645]}"
127,R10BUNKER-SF-221,19,19.0,19,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8232,47.4597]}"
128,R10BUNKER-SF-222,10,9.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.841,47.4649]}"
129,R10BUNKER-SF-223,9,8.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8437,47.4673]}"
130,R10BUNKER-SF-224,21,21.0,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8534,47.4701]}"
131,R10BUNKER-SF-225,9,9.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8576,47.4679]}"
132,R10BUNKER-SF-226,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8652,47.4745]}"
133,R10BUNKER-SF-227,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8698,47.4742]}"
134,R10BUNKER-SF-228,21,18.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8828,47.4727]}"
135,R10BUNKER-SF-229,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8884,47.4755]}"
136,R10BUNKER-SF-23,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9845,47.4997]}"
137,R10BUNKER-SF-230,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.893,47.4747]}"
138,R10BUNKER-SF-231,38,23.0,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9126,47.4718]}"
139,R10BUNKER-SF-232,40,22.0,16,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9152,47.4719]}"
140,R10BUNKER-SF-233,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9285,47.4752]}"
141,R10BUNKER-SF-234,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9362,47.4658]}"
142,R10BUNKER-SF-235,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9343,47.4777]}"
143,R10BUNKER-SF-236,23,23.0,23,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9355,47.4796]}"
144,R10BUNKER-SF-237,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9458,47.4882]}"
145,R10BUNKER-SF-238,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9528,47.4892]}"
146,R10BUNKER-SF-239,32,15.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9551,47.4914]}"
147,R10BUNKER-SF-240,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9541,47.4947]}"
148,R10BUNKER-SF-241,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9687,47.4915]}"
149,R10BUNKER-SF-242,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9726,47.4904]}"
150,R10BUNKER-SF-243,44,5.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9792,47.4983]}"
151,R10BUNKER-SF-244,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9804,47.4951]}"
152,R10BUNKER-SF-245,61,61.0,50,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9804,47.504]}"
153,R10BUNKER-SF-246,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9903,47.5047]}"
154,R10BUNKER-SF-247,28,28.0,28,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9911,47.5071]}"
155,R10BUNKER-SF-248,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9962,47.5097]}"
156,R10BUNKER-SF-249,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9981,47.5099]}"
157,R10BUNKER-SF-250,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0052,47.5096]}"
158,R10BUNKER-SF-251,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0066,47.5104]}"
159,R10BUNKER-SF-252,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0224,47.5144]}"
160,R10BUNKER-SF-253,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0238,47.5144]}"
161,R10BUNKER-SF-254,29,29.0,23,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0329,47.5167]}"
162,R10BUNKER-SF-255,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.035,47.5165]}"
163,R10BUNKER-SF-256,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0389,47.5177]}"
164,R10BUNKER-SF-257,17,13.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0436,47.5209]}"
165,R10BUNKER-SF-258,17,13.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0425,47.5219]}"
166,R10BUNKER-SF-259,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0499,47.5274]}"
167,R10BUNKER-SF-261,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0508,47.5307]}"
168,R10BUNKER-SF-263,19,19.0,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.065,47.5326]}"
169,R10BUNKER-SF-264,30,26.0,24,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0791,47.5317]}"
170,R10BUNKER-SF-265,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.078,47.5296]}"
171,R10BUNKER-SF-266,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0888,47.5311]}"
172,R10BUNKER-SF-267,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0915,47.5299]}"
173,R10BUNKER-SF-268,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0932,47.5315]}"
174,R10BUNKER-SF-269,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1342,47.5453]}"
175,R10BUNKER-SF-270,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.1748,47.5484]}"
176,R10BUNKER-SF-271,11,7.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.2363,47.5517]}"
177,R10BUNKER-SF-272,4,4.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9778,47.4961]}"
178,R10BUNKER-SF-273,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9222,47.4726]}"
179,R10BUNKER-SF-274,23,23.0,23,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.9345,47.4808]}"
180,R10BUNKER-SF-275,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.7992,47.4788]}"
181,R10BUNKER-SF-31,15,15.0,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-116.0451,47.5239]}"
182,R10BUNKER-SF-316,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8166,47.471]}"
183,R10BUNKER-SF-317,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8293,47.4742]}"
184,R10BUNKER-SF-318,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8272,47.4874]}"
185,R10BUNKER-SF-319,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8256,47.4917]}"
186,R10BUNKER-SF-320,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8218,47.496]}"
187,R10BUNKER-SF-321,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-115.8292,47.4939]}"
