system:index,SiteID,max,med,min,.geo
0,21VASWCB-2-APP012.79,39,18.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.4175,37.2325]}"
1,21VASWCB-2-APP016.38,42,28.0,11,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.4764,37.2253]}"
2,21VASWCB-2-APP019.34,91,50.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.524,37.2197]}"
3,21VASWCB-2-APP020.23,93,90.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.5356,37.2267]}"
4,21VASWCB-2-APP023.27,95,92.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.5728,37.2372]}"
5,21VASWCB-2-APP026.67,92,88.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.6139,37.2708]}"
6,21VASWCB-2-APP028.58,92,88.99999999999999,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.6428,37.2642]}"
7,21VASWCB-2-APP029.23,92,90.0,86,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.6539,37.2667]}"
8,21VASWCB-2-APP037.08,29,20.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.7286,37.2858]}"
9,21VASWCB-2-APP044.78,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.8028,37.3186]}"
10,21VASWCB-2-APP050.23,7,7.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.8518,37.3548]}"
11,21VASWCB-2-APP061.02,17,11.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.8669,37.4567]}"
12,21VASWCB-2-APP061.07,17,11.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.8677,37.4567]}"
13,21VASWCB-2-APP068.93,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.9653,37.4844]}"
14,21VASWCB-2-APP080.58,1,1.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.0934,37.4509]}"
15,21VASWCB-2-APP081.04,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.0947,37.4447]}"
16,21VASWCB-2-APP082.00,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.1017,37.4456]}"
17,21VASWCB-2-APP085.85,1,1.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.1494,37.4522]}"
18,21VASWCB-2-APP090.12,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.1974,37.4275]}"
19,21VASWCB-2-APP095.21,5,3.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.2397,37.3769]}"
20,21VASWCB-2-APP110.93,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.3893,37.3073]}"
21,21VASWCB-2-APP114.05,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.4203,37.3233]}"
22,21VASWCB-2-APP118.04,39,27.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.4716,37.3403]}"
23,21VASWCB-2-APP122.15,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.5197,37.3369]}"
24,21VASWCB-2-APP137.55,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.62,37.3878]}"
25,21VASWCB-2-APP143.57,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.6594,37.3392]}"
26,21VASWCB-2-APP152.57,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.7486,37.3672]}"
27,21VASWCB-2-ARS000.11,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.7475,37.3639]}"
28,21VASWCB-2-ASH001.26,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-77.3731,37.3169]}"
29,21VASWCB-2-BAC000.85,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.7387,37.4922]}"
30,21VASWCB-2-BAG002.25,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.2394,37.8531]}"
31,21VASWCB-2-BAR000.60,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-80.045,37.5358]}"
