system:index,SiteID,max,med,min,.geo
0,lagos-135115,36,31.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-76.954611,42.046407]}"
1,lagos-135116,73,46.0,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.925724,41.401979]}"
2,lagos-135117,77,69.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-76.008931,41.157047]}"
3,lagos-135118,62,22.5,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-76.988647,41.533639]}"
4,lagos-135119,39,32.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-76.671902,41.788637]}"
5,lagos-135120,68,46.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-76.270749,41.387829]}"
6,lagos-135121,77,66.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-76.016627,42.553782]}"
7,lagos-135122,58,27.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-76.037428,40.732215]}"
8,lagos-135123,87,81.0,10,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.81453,41.657636]}"
9,lagos-135124,60,33.0,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.78776,41.364842]}"
10,lagos-135125,53,18.0,11,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.877048,41.272729]}"
11,lagos-135126,69,41.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.785362,41.90028]}"
12,lagos-135127,74,56.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.752626,41.845993]}"
13,lagos-135128,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.930386,41.429853]}"
14,lagos-135129,15,8.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.76658,41.648552]}"
15,lagos-135130,88,77.99999999999999,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.170792,41.350886]}"
16,lagos-135131,70,49.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.071825,41.064693]}"
17,lagos-135132,79,68.0,20,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.62419,41.376694]}"
18,lagos-135133,78,68.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.311569,41.007064]}"
19,lagos-135134,80,68.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.59996,41.62007]}"
20,lagos-135135,69,62.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.335196,41.879431]}"
21,lagos-135136,78,65.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.379077,41.985848]}"
22,lagos-135137,68,36.5,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.158044,41.75055]}"
23,lagos-135138,77,18.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.779055,39.667752]}"
24,lagos-135139,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.588568,40.182293]}"
25,lagos-135140,84,47.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.634828,39.816759]}"
26,lagos-135141,28,11.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.360266,41.548408]}"
27,lagos-135142,90,73.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.905217,40.379898]}"
28,lagos-135143,96,91.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.193697,39.739249]}"
29,lagos-135144,78,51.00000000000001,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.539442,39.90151]}"
30,lagos-135145,12,5.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.694956,40.923666]}"
31,lagos-135146,75,32.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.077383,39.823706]}"
32,lagos-135147,38,28.0,21,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.796952,39.667926]}"
33,lagos-135148,75,23.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.302005,39.306136]}"
34,lagos-135149,58,24.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.535714,40.230993]}"
35,lagos-135150,51,31.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.411708,41.749314]}"
36,lagos-135151,39,24.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.729235,39.776355]}"
37,lagos-135152,60,35.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.949334,38.936611]}"
38,lagos-135153,87,62.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.113375,39.656991]}"
39,lagos-135154,63,29.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.833881,39.910651]}"
40,lagos-135155,91,85.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.348373,39.588935]}"
41,lagos-135156,78,34.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.191295,39.694181]}"
42,lagos-135157,87,34.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.537898,39.473509]}"
43,lagos-135158,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.292116,41.37676]}"
44,lagos-135159,97,48.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.136558,39.988668]}"
45,lagos-135160,86,45.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.512805,40.700411]}"
46,lagos-135161,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-76.106294,40.613631]}"
47,lagos-135162,66,8.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-75.342329,41.31085]}"
48,lagos-135163,46,33.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.785911,39.675098]}"
49,lagos-135164,83,45.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.827847,39.101421]}"
50,lagos-135165,84,55.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.411616,39.76857]}"
51,lagos-135166,36,20.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.658349,41.119228]}"
