system:index,SiteID,max,med,min,.geo
0,21FLTBW_WQX-AR509694,81,59.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31312,27.86728]}"
1,21FLTBW_WQX-AR509746,81,54.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31335,27.8677]}"
2,21FLTBW_WQX-AR509820,87,61.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31371,27.86828]}"
3,21FLTBW_WQX-AR509843,87,61.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31386,27.86845]}"
4,21FLTBW_WQX-AR509852,87,61.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31392,27.86852]}"
5,21FLTBW_WQX-AR509926,87,54.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31424,27.86911]}"
6,21FLTBW_WQX-AR509966,87,54.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31428,27.86946]}"
7,21FLTBW_WQX-AR509993,87,38.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31414,27.86966]}"
8,21FLTBW_WQX-AR510013,87,38.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31401,27.8698]}"
9,21FLTBW_WQX-AR510020,87,38.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31396,27.86985]}"
10,21FLTBW_WQX-AR510028,87,38.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.3139,27.8699]}"
11,21FLTBW_WQX-AR510096,87,62.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31326,27.8701]}"
12,21FLTBW_WQX-AR510124,87,67.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31299,27.87017]}"
13,21FLTBW_WQX-AR510153,87,67.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.3127,27.87015]}"
14,21FLTBW_WQX-AR510161,87,62.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31261,27.87015]}"
15,21FLTBW_WQX-AR510312,83,24.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31114,27.87047]}"
16,21FLTBW_WQX-AR510324,83,35.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31102,27.8705]}"
17,21FLTBW_WQX-AR510393,83,35.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.3104,27.87075]}"
18,21FLTBW_WQX-AR510411,83,35.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31026,27.87086]}"
19,21FLTBW_WQX-AR510422,83,24.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.31018,27.87093]}"
20,21FLTBW_WQX-AR510475,78,23.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.30989,27.87133]}"
21,21FLTBW_WQX-AR510487,78,23.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.30984,27.87143]}"
22,21FLTBW_WQX-AR510508,78,15.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.30976,27.87161]}"
23,21FLTBW_WQX-AR510531,78,15.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.3097,27.87181]}"
24,21FLTBW_WQX-AR510533,78,15.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.3097,27.87183]}"
25,21FLTBW_WQX-AR510570,38,15.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.30965,27.87216]}"
26,21FLTBW_WQX-AR510578,38,15.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.30964,27.87223]}"
27,21FLTBW_WQX-AR510595,38,15.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.30962,27.87238]}"
28,21FLTBW_WQX-AR510633,38,9.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.30964,27.87272]}"
