system:index,SiteID,max,med,min,.geo
0,lagos-130115,38,16.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.69339,37.018605]}"
1,lagos-130116,21,2.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.056044,36.139223]}"
2,lagos-130117,68,29.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.472889,39.014293]}"
3,lagos-130118,50,18.5,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.257507,38.756611]}"
4,lagos-130119,80,53.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.486646,38.936693]}"
5,lagos-130120,82,51.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.067643,38.809313]}"
6,lagos-130121,90,59.5,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.403067,38.892638]}"
7,lagos-130122,76,51.0,17,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.946983,39.270372]}"
8,lagos-130123,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.840082,39.196811]}"
9,lagos-130124,74,59.0,22,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.747152,39.072164]}"
10,lagos-130125,85,59.0,10,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.384933,38.777349]}"
11,lagos-130126,60,38.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.064629,38.857631]}"
12,lagos-130127,40,22.5,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.660078,38.83439]}"
13,lagos-130128,47,26.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.487955,38.938881]}"
14,lagos-130129,81,42.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.897132,39.067094]}"
15,lagos-130130,63,45.0,30,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.217387,38.556387]}"
16,lagos-130131,59,39.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.510496,39.38001]}"
17,lagos-130132,88,19.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.719904,37.984903]}"
18,lagos-130133,56,16.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.67661,37.591253]}"
19,lagos-130134,8,8.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.274942,38.478952]}"
20,lagos-130135,90,85.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.301997,37.302986]}"
21,lagos-130136,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.650552,38.558671]}"
22,lagos-130137,40,11.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.635849,38.075267]}"
23,lagos-130138,26,8.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.307106,37.999264]}"
24,lagos-130139,66,35.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.463297,37.893356]}"
25,lagos-130140,53,30.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.543736,37.967149]}"
26,lagos-130141,65,48.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.671423,37.66425]}"
27,lagos-130142,57,23.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.092376,37.76141]}"
28,lagos-130143,45,20.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.326209,38.169797]}"
29,lagos-130144,15,15.0,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.565127,38.114959]}"
30,lagos-130145,75,34.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.736297,38.45143]}"
31,lagos-130146,54,43.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.662223,38.715152]}"
32,lagos-130147,8,8.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.962951,38.374096]}"
33,lagos-130148,88,75.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.697373,38.121465]}"
34,lagos-130149,24,10.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.623811,37.574515]}"
35,lagos-130150,64,47.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.895455,38.406786]}"
36,lagos-130151,55,40.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.644772,38.722777]}"
37,lagos-130152,81,55.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.303798,37.832116]}"
38,lagos-130153,94,92.0,11,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-95.067432,37.791894]}"
39,lagos-130154,86,61.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.633932,38.098532]}"
