system:index,SiteID,max,med,min,.geo
0,lagos-40112,83,69.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.756996,45.870886]}"
1,lagos-40113,74,38.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.743279,45.933396]}"
2,lagos-40114,16,13.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.452416,45.618861]}"
3,lagos-40115,90,21.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.795647,44.399615]}"
4,lagos-40116,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.848537,44.411839]}"
5,lagos-40117,75,57.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.709413,45.444508]}"
6,lagos-40118,71,55.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.164068,45.420739]}"
7,lagos-40119,78,43.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.003998,42.10578]}"
8,lagos-40120,38,22.0,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.77746,41.205445]}"
9,lagos-40121,85,48.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.688001,42.835987]}"
10,lagos-40122,16,16.0,16,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.567207,41.641958]}"
11,lagos-40123,54,29.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.107015,40.841266]}"
12,lagos-40124,92,48.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.052412,40.86214]}"
13,lagos-40125,57,38.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.751562,41.136134]}"
14,lagos-40126,69,19.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.381357,41.742706]}"
15,lagos-40127,89,75.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.706578,43.279846]}"
16,lagos-40128,76,40.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.530455,42.286209]}"
17,lagos-40129,89,49.00000000000001,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.772219,42.061006]}"
18,lagos-40130,52,52.0,52,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.661639,41.987135]}"
19,lagos-40131,76,41.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.197199,42.188026]}"
20,lagos-40132,78,19.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.232688,41.851884]}"
21,lagos-40133,25,25.0,18,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.699271,42.601695]}"
22,lagos-40134,82,37.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.078155,42.610393]}"
23,lagos-40135,85,47.0,20,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.718441,41.786947]}"
24,lagos-40136,39,25.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.549336,42.887633]}"
25,lagos-40137,51,35.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.553062,42.887768]}"
26,lagos-40138,49,18.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.573199,42.944446]}"
27,lagos-40139,65,40.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.467811,43.052686]}"
28,lagos-40140,85,74.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.486063,43.01787]}"
29,lagos-40141,49,17.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.285848,41.662383]}"
30,lagos-40142,50,34.5,23,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.918003,42.837319]}"
31,lagos-40143,59,33.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.63309,43.494403]}"
32,lagos-40144,48,17.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.903152,42.88899]}"
33,lagos-40145,73,65.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.695558,43.326722]}"
34,lagos-40146,71,29.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.304632,41.599473]}"
35,lagos-40147,70,34.5,10,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.145743,41.00619]}"
36,lagos-40148,70,33.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.676179,43.329406]}"
37,lagos-40149,53,38.0,25,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.754996,40.7316]}"
38,lagos-40150,72,44.0,24,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.470087,41.039168]}"
39,lagos-40151,69,39.0,11,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.452631,41.065548]}"
40,lagos-40152,67,57.00000000000001,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.734019,43.301786]}"
41,lagos-40153,52,45.0,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.301551,40.34783]}"
42,lagos-40154,83,75.99999999999999,51,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.452343,44.102268]}"
43,lagos-40155,54,23.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.703642,38.924226]}"
44,lagos-40156,79,62.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.877236,39.278148]}"
45,lagos-40157,58,49.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.329001,39.10639]}"
