system:index,SiteID,max,med,min,.geo
0,lagos-100115,94,90.0,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.633493,46.247858]}"
1,lagos-100116,93,41.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.245535,45.051703]}"
2,lagos-100117,85,69.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.506935,47.440602]}"
3,lagos-100118,73,20.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.936377,46.683549]}"
4,lagos-100119,74,37.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-95.268045,47.239891]}"
5,lagos-100120,69,45.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.944276,46.893596]}"
6,lagos-100121,6,3.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.723797,46.48448]}"
7,lagos-100122,23,14.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.551969,46.813078]}"
8,lagos-100123,81,44.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.970584,46.807476]}"
9,lagos-100124,79,21.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.701519,46.962227]}"
10,lagos-100125,38,35.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.449146,47.613961]}"
11,lagos-100126,87,81.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.805081,45.078444]}"
12,lagos-100127,82,32.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.694579,46.993802]}"
13,lagos-100128,88,83.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-95.263763,47.491719]}"
14,lagos-100129,65,33.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.395982,45.359969]}"
15,lagos-100130,79,58.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.528744,46.434171]}"
