system:index,SiteID,max,med,min,.geo
0,INSTOR_WQX-12618,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.32441,38.4129111111]}"
1,INSTOR_WQX-12619,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.94189,38.19325]}"
2,INSTOR_WQX-12620,14,14.0,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.3606213888,38.4218011111]}"
3,INSTOR_WQX-12621,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.38323,38.3373694444]}"
4,INSTOR_WQX-12622,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.21989,38.3948194444]}"
5,INSTOR_WQX-12623,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.17945,38.2315694444]}"
6,INSTOR_WQX-12624,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.18942,38.2456305555]}"
7,INSTOR_WQX-12625,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.19878,38.2600805555]}"
8,INSTOR_WQX-12626,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.17193,38.28175]}"
9,INSTOR_WQX-12627,12,2.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.12433,38.3309694444]}"
10,INSTOR_WQX-12628,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.18383,38.3905888888]}"
11,INSTOR_WQX-12629,3,2.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.18737,38.3692603333]}"
12,INSTOR_WQX-12630,8,2.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.21717,38.3800388888]}"
13,INSTOR_WQX-12632,,10.0,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.94918,38.3391388888]}"
14,INSTOR_WQX-12634,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.9040580555,38.2837719444]}"
15,INSTOR_WQX-12638,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.3714361111,39.2960611111]}"
16,INSTOR_WQX-12639,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.3848027777,39.2784222222]}"
17,INSTOR_WQX-12640,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.3880138888,39.2591611111]}"
18,INSTOR_WQX-12641,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.3988444444,39.2350555555]}"
19,INSTOR_WQX-12642,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4153083333,39.208375]}"
20,INSTOR_WQX-12643,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4442194444,39.2112583333]}"
21,INSTOR_WQX-12644,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.3936111111,39.1912861111]}"
22,INSTOR_WQX-12645,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4624,39.1632916666]}"
23,INSTOR_WQX-12646,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4222055555,39.1617555555]}"
24,INSTOR_WQX-12647,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4390277777,39.1467361111]}"
25,INSTOR_WQX-12648,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4741111111,39.1174944444]}"
26,INSTOR_WQX-12649,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4176416666,39.1364916666]}"
27,INSTOR_WQX-12650,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.3896,39.1479333333]}"
28,INSTOR_WQX-12651,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4704890095,39.0977217061]}"
29,INSTOR_WQX-12653,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4864666666,39.0702277777]}"
30,INSTOR_WQX-12654,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4579555555,39.0826333333]}"
31,INSTOR_WQX-12655,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4241472222,39.1104916666]}"
32,INSTOR_WQX-12656,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.5482888888,39.073775]}"
33,INSTOR_WQX-12659,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.575825,38.9888666666]}"
34,INSTOR_WQX-12660,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.5206388888,38.979125]}"
35,INSTOR_WQX-12662,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.5199171837,39.003311299800004]}"
36,INSTOR_WQX-12663,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.5680083333,38.9704222222]}"
37,INSTOR_WQX-12666,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.2774027777,40.4223194444]}"
38,INSTOR_WQX-12667,77,23.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.9773333333,40.4753611111]}"
39,INSTOR_WQX-12669,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.5046105555,40.2880711111]}"
40,INSTOR_WQX-12670,,23.0,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.3755319444,40.3586819444]}"
41,INSTOR_WQX-12674,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.6848610833,38.9542908333]}"
42,INSTOR_WQX-12675,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.7405188888,38.9267308333]}"
43,INSTOR_WQX-12676,27,27.0,27,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.1907997222,38.2897758333]}"
44,INSTOR_WQX-12677,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.7772888888,38.9307211111]}"
45,INSTOR_WQX-12678,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.7773086111,38.9695366666]}"
46,INSTOR_WQX-12679,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.6137827777,38.9834169444]}"
47,INSTOR_WQX-12680,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2193583333,38.28724]}"
48,INSTOR_WQX-12681,16,10.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.7302875,38.9110105555]}"
49,INSTOR_WQX-12682,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2195605555,38.3112544444]}"
50,INSTOR_WQX-12684,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2240186111,38.2929136111]}"
51,INSTOR_WQX-12685,,23.0,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2520705555,38.24569]}"
52,INSTOR_WQX-12687,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2426302777,38.2855988888]}"
53,INSTOR_WQX-12688,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2606913888,38.2971130555]}"
54,INSTOR_WQX-12689,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.4751213659,39.1358342836]}"
55,INSTOR_WQX-12690,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2656063888,38.2895080555]}"
56,INSTOR_WQX-12691,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2698991666,38.3114777777]}"
57,INSTOR_WQX-12695,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.3121911111,38.3990441666]}"
58,INSTOR_WQX-12696,9,6.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.3461241666,38.3630861111]}"
59,INSTOR_WQX-12697,28,11.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.3615380555,38.3922197222]}"
60,INSTOR_WQX-12698,24,8.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.3596116666,38.3776338888]}"
61,INSTOR_WQX-12701,17,9.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.4410074999,38.3634469444]}"
62,INSTOR_WQX-12702,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.9801947222,38.2470422222]}"
63,INSTOR_WQX-12704,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.3358741666,39.0383247222]}"
64,INSTOR_WQX-12708,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.9423,41.6044472222]}"
65,INSTOR_WQX-12709,83,60.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.9304416666,41.6208527777]}"
66,INSTOR_WQX-12710,,12.0,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.9375,41.6318972222]}"
67,INSTOR_WQX-12712,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.9253,41.6364027777]}"
68,INSTOR_WQX-12713,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.9276722222,41.6470861111]}"
69,INSTOR_WQX-12715,11,4.999999999999998,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.9283361111,38.2919166666]}"
70,INSTOR_WQX-12717,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.9012222222,38.2192611111]}"
71,INSTOR_WQX-12718,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.8968805555,38.2337722222]}"
72,INSTOR_WQX-12719,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.8938222222,38.2338638888]}"
73,INSTOR_WQX-12720,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.894225,38.2338166666]}"
