system:index,SiteID,max,med,min,.geo
0,lagos-95115,60,16.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.357159,40.358268]}"
1,lagos-95116,18,17.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.048692,44.518081]}"
2,lagos-95117,68,35.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.296569,43.882152]}"
3,lagos-95118,58,45.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.548109,44.586675]}"
4,lagos-95119,71,38.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.73414,44.681894]}"
5,lagos-95120,9,6.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.307697,43.782348]}"
6,lagos-95121,42,9.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.918487,44.353915]}"
7,lagos-95122,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.08415,45.109811]}"
8,lagos-95123,69,52.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.321146,45.200863]}"
9,lagos-95124,64,35.0,11,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.446512,45.242212]}"
10,lagos-95125,42,26.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.425248,46.083384]}"
11,lagos-95126,67,28.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.480116,45.481228]}"
12,lagos-95127,71,65.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.442328,45.283754]}"
13,lagos-95128,80,63.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.472521,45.371688]}"
14,lagos-95129,13,11.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.603858,45.367572]}"
15,lagos-95130,72,54.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.48231,46.01388]}"
16,lagos-95131,27,18.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.564225,45.679213]}"
17,lagos-95132,75,62.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.212245,46.139304]}"
18,lagos-95133,87,75.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.109635,46.026814]}"
19,lagos-95134,80,42.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.472135,45.369126]}"
20,lagos-95135,83,52.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.752875,46.164143]}"
21,lagos-95136,64,34.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.964441,45.603888]}"
22,lagos-95137,4,4.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.219865,45.369909]}"
23,lagos-95138,28,20.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.905207,44.657262]}"
24,lagos-95139,73,46.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.068114,45.506481]}"
25,lagos-95140,67,18.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.307681,45.20271]}"
26,lagos-95141,67,41.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.549865,45.717248]}"
27,lagos-95142,46,28.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.356367,45.202359]}"
28,lagos-95143,71,55.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.40663,45.581235]}"
29,lagos-95144,67,34.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.625271,46.005384]}"
30,lagos-95145,83,25.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.013662,42.725655]}"
31,lagos-95146,91,45.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.547347,42.428207]}"
32,lagos-95147,25,20.0,16,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.142307,43.66287]}"
33,lagos-95148,84,34.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.172574,42.119373]}"
34,lagos-95149,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.989499,44.355435]}"
35,lagos-95150,43,27.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.807458,44.405349]}"
36,lagos-95151,68,41.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.285678,45.449107]}"
