system:index,SiteID,max,med,min,.geo
0,21AWIC-1078,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.8232,34.7521]}"
1,21AWIC-108,92,87.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.839216,32.779673]}"
2,21AWIC-1080,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.27052,31.53768]}"
3,21AWIC-1081,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.56332,34.58631]}"
4,21AWIC-1082,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.57919,34.55392]}"
5,21AWIC-1083,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.57985,34.5582]}"
6,21AWIC-1084,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.35048,31.18168]}"
7,21AWIC-1085,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.26552,32.35395]}"
8,21AWIC-1086,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.02133,31.74444]}"
9,21AWIC-1087,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.40163,31.93983]}"
10,21AWIC-1088,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.56038,32.68528]}"
11,21AWIC-1089,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.33788,33.49466]}"
12,21AWIC-109,90,84.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.787271,32.89492]}"
13,21AWIC-1090,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.03062,34.0715]}"
14,21AWIC-1091,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.17317,30.27308]}"
15,21AWIC-1093,99,98.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.85137,30.28407]}"
16,21AWIC-1094,4,4.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.923778,33.872403]}"
17,21AWIC-1095,47,43.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.95093,32.66775]}"
18,21AWIC-1096,38,12.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.2984,34.4881]}"
19,21AWIC-1097,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.2365,33.48097]}"
20,21AWIC-1098,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.71749,30.42442]}"
21,21AWIC-1099,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.36339,32.45541]}"
22,21AWIC-11,95,93.0,68,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.10963,31.974267]}"
23,21AWIC-110,95,90.99999999999997,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.8038,32.8334]}"
24,21AWIC-1100,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.83637,32.03955]}"
25,21AWIC-1101,82,50.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.86883,32.49542]}"
26,21AWIC-1102,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.50294,34.32758]}"
27,21AWIC-1103,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.6012,33.97058]}"
28,21AWIC-1104,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.35218,30.60518]}"
29,21AWIC-1105,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.425792,32.602867]}"
30,21AWIC-1106,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.46994,32.556886]}"
31,21AWIC-1107,92,90.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.01853,31.0137]}"
32,21AWIC-1108,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.82162,32.80172]}"
33,21AWIC-1109,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.415214,32.490235]}"
34,21AWIC-111,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.082906,31.656998]}"
35,21AWIC-1110,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.90361,32.58278]}"
36,21AWIC-1111,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.5905,33.95607]}"
37,21AWIC-1112,76,46.0,11,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.67793,33.9732]}"
38,21AWIC-1113,16,9.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.29779,32.932681]}"
39,21AWIC-1114,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.040247,32.834132]}"
40,21AWIC-1115,,1.0,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.95416,32.3019]}"
41,21AWIC-1116,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.856528,33.90575]}"
42,21AWIC-1117,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.8757,33.8968]}"
43,21AWIC-1118,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.40407,31.5959]}"
44,21AWIC-1119,2,1.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.95477,32.30188]}"
45,21AWIC-1120,,3.0,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.20715,31.62303]}"
