system:index,SiteID,max,med,min,.geo
0,EMAP_CS-AL04-0030,98,89.00000000000001,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.02,30.767]}"
1,EMAP_CS-AL04-0031,97,95.99999999999999,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.924,30.77]}"
2,EMAP_CS-AL04-0032,10,7.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.954,30.733]}"
3,EMAP_CS-AL04-0033,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.02,30.51]}"
4,EMAP_CS-AL04-0034,99,98.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.04,30.27]}"
5,EMAP_CS-AL04-0035,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.89,30.27]}"
6,EMAP_CS-AL04-0036,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.09,30.45]}"
7,EMAP_CS-AL04-0037,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.08,30.57]}"
8,EMAP_CS-AL04-0038,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.21,30.26]}"
9,EMAP_CS-AL04-0039,99,99.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.15,30.33]}"
10,EMAP_CS-AL04-0040,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.83,30.4]}"
11,EMAP_CS-AL04-0041,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.75,30.29]}"
12,EMAP_CS-AL04-0042,98,97.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.539,30.31]}"
13,EMAP_CS-AL04-0043,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.02,30.25]}"
14,EMAP_CS-AL04-0044,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.32,30.37]}"
15,EMAP_CS-AL04-0045,99,98.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.55,30.28]}"
16,EMAP_CS-AL04-0046,99,98.0,96,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.591,30.321]}"
17,EMAP_CS-AL04-0047,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.45,30.37]}"
18,EMAP_CS-AL04-0048,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.4,30.42]}"
19,EMAP_CS-AL04-0049,97,95.99999999999996,95,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.4,30.45]}"
20,EMAP_CS-AL04-0050,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.085,30.641]}"
21,EMAP_CS-BU01-0001-A,99,96.99999999999999,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.643,41.604]}"
22,EMAP_CS-BU01-0002-C,96,88.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.712,41.757]}"
23,EMAP_CS-BU01-0007-A,99,98.0,96,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.751,41.695]}"
24,EMAP_CS-BU01-0013-C,99,98.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.651,41.566]}"
25,EMAP_CS-BU01-0015-A,98,97.00000000000001,10,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.956,41.591]}"
26,EMAP_CS-BU01-0016-C,99,96.99999999999999,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-71.067,41.557]}"
27,EMAP_CS-BU01-0018-A,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.838,41.551]}"
28,EMAP_CS-BU01-0019-A,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.759,41.52]}"
29,EMAP_CS-BU01-0020-A,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.732,41.508]}"
30,EMAP_CS-BU01-0021-A,99,99.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.958,41.509]}"
31,EMAP_CS-BU01-0026-B,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-71.0,41.463]}"
32,EMAP_CS-BU01-0029-A,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-71.114,41.474]}"
33,EMAP_CS-BU01-0030-A,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.972,41.435]}"
34,EMAP_CS-CA00-0001,99,97.99999999999999,96,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.368,37.715]}"
35,EMAP_CS-CA00-0002,98,96.99999999999999,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.323,37.796]}"
36,EMAP_CS-CA00-0003,99,98.0,96,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.345,37.802]}"
37,EMAP_CS-CA00-0004,99,96.99999999999997,93,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.218,37.753]}"
38,EMAP_CS-CA00-0005,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.356,37.657]}"
39,EMAP_CS-CA00-0006,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.331,37.62]}"
40,EMAP_CS-CA00-0007,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.242,37.688]}"
41,EMAP_CS-CA00-0008,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.257,37.671]}"
42,EMAP_CS-CA00-0009,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.194,37.658]}"
43,EMAP_CS-CA00-0010,99,98.0,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.242,37.584]}"
44,EMAP_CS-CA00-0011,100,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.142,37.522]}"
45,EMAP_CS-CA00-0012,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.173,37.594]}"
46,EMAP_CS-CA00-0013,99,97.99999999999997,19,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.199,37.527]}"
47,EMAP_CS-CA00-0014,99,94.0,21,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.026,37.463]}"
48,EMAP_CS-CA00-0015,98,43.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.021,37.452]}"
49,EMAP_CS-CA00-0016,99,98.0,35,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.494,37.865]}"
50,EMAP_CS-CA00-0017,99,98.0,27,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.318,37.868]}"
51,EMAP_CS-CA00-0018,100,99.0,99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.041,38.135]}"
52,EMAP_CS-CA00-0019,100,99.0,99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.054,38.092]}"
53,EMAP_CS-CA00-0020,100,99.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-121.986,38.053]}"
54,EMAP_CS-CA00-0021,99,99.0,98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.172,38.053]}"
55,EMAP_CS-CA00-0022,99,97.99999999999999,44,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.27,38.106]}"
56,EMAP_CS-CA00-0023,98,94.0,80,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.389,38.134]}"
57,EMAP_CS-CA00-0024,99,99.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.282,38.14]}"
58,EMAP_CS-CA00-0025,99,98.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-122.284,38.126]}"
