system:index,SiteID,max,med,min,.geo
0,lagos-90115,74,35.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.938833,40.535811]}"
1,lagos-90116,72,36.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.089411,40.161255]}"
2,lagos-90117,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.264919,39.873087]}"
3,lagos-90118,76,58.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.355758,40.650758]}"
4,lagos-90119,41,25.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.819158,39.352593]}"
5,lagos-90120,64,44.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.128493,42.031325]}"
6,lagos-90121,83,48.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.928943,41.943703]}"
7,lagos-90122,43,38.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.61832,41.485833]}"
8,lagos-90123,89,85.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.408823,41.298466]}"
9,lagos-90124,71,43.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.274644,41.209184]}"
10,lagos-90125,67,27.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.883989,41.643965]}"
11,lagos-90126,93,85.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.169071,42.100343]}"
12,lagos-90127,88,65.0,20,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.909531,41.76612]}"
13,lagos-90128,28,9.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.935445,42.28749]}"
14,lagos-90129,78,73.99999999999999,26,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.865655,41.640775]}"
15,lagos-90130,12,10.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.15412,41.329441]}"
16,lagos-90131,42,22.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.306551,41.367229]}"
17,lagos-90132,12,5.5,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.481664,41.937478]}"
18,lagos-90133,36,24.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.963201,42.454085]}"
19,lagos-90134,56,39.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.369991,42.584631]}"
20,lagos-90135,22,13.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.142597,42.387858]}"
21,lagos-90136,72,33.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.194411,41.271377]}"
22,lagos-90137,91,71.5,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.156672,42.366081]}"
23,lagos-90138,87,59.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.175037,42.19468]}"
24,lagos-90139,4,4.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.357951,41.610462]}"
