system:index,SiteID,max,med,min,.geo
0,lagos-45112,28,8.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.837501,38.782276]}"
1,lagos-45113,78,41.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.632491,38.862955]}"
2,lagos-45114,67,42.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.806632,38.878898]}"
3,lagos-45115,76,44.5,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-82.952405,38.561826]}"
4,lagos-45116,93,11.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.800985,38.887359]}"
5,lagos-45117,87,52.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.723095,39.19355]}"
6,lagos-45118,71,34.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.59175,38.84788]}"
7,lagos-45119,83,78.99999999999999,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.77481,39.539105]}"
8,lagos-45120,92,89.0,16,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.759554,39.812451]}"
9,lagos-45121,73,50.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.008612,39.19006]}"
10,lagos-45122,28,24.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.188919,39.150958]}"
11,lagos-45123,35,16.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.949336,40.19438]}"
12,lagos-45124,57,23.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.180794,39.44125]}"
13,lagos-45125,80,61.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.274907,38.956643]}"
14,lagos-45126,21,17.5,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.797006,39.874332]}"
15,lagos-45127,9,9.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.593289,40.473806]}"
16,lagos-45128,62,17.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.623617,39.488652]}"
17,lagos-45129,70,35.0,11,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.095871,38.757784]}"
18,lagos-45130,34,22.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.231704,38.219994]}"
19,lagos-45131,12,7.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.976301,40.409689]}"
20,lagos-45132,44,25.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.607459,39.163241]}"
21,lagos-45133,73,45.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.65317,38.858944]}"
22,lagos-45134,68,31.5,10,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.773516,39.126527]}"
23,lagos-45135,48,21.5,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.694955,40.140467]}"
24,lagos-45136,71,17.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.029751,38.323678]}"
25,lagos-45137,38,30.5,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.925088,39.122695]}"
26,lagos-45138,14,8.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.257547,38.943141]}"
27,lagos-45139,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.931237,40.391385]}"
28,lagos-45140,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.404119,39.381902]}"
29,lagos-45141,83,27.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.286253,39.060655]}"
30,lagos-45142,80,49.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.911752,39.34623]}"
31,lagos-45143,80,32.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.209422,38.397905]}"
32,lagos-45144,35,27.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.775698,38.363314]}"
33,lagos-45145,55,32.0,16,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.036397,38.631432]}"
34,lagos-45146,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.287025,38.741935]}"
35,lagos-45147,65,24.0,11,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.684604,39.064652]}"
36,lagos-45148,73,40.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.49121,39.616174]}"
37,lagos-45149,72,28.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.777494,39.119167]}"
38,lagos-45150,50,50.0,50,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.932897,38.117978]}"
39,lagos-45151,62,20.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.160545,39.492857]}"
40,lagos-45152,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.03919,39.808556]}"
41,lagos-45153,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.176384,38.297603]}"
42,lagos-45154,67,30.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.278597,38.859286]}"
43,lagos-45155,49,23.5,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.828213,38.942936]}"
44,lagos-45156,16,8.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.700061,40.115497]}"
45,lagos-45157,34,21.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.72734,39.252393]}"
46,lagos-45158,35,35.0,12,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.263688,39.20632]}"
47,lagos-45159,72,34.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.632984,39.133011]}"
48,lagos-45160,65,39.0,18,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.441906,39.28004]}"
49,lagos-45161,39,29.0,26,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.24247,39.247201]}"
50,lagos-45162,47,24.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.476358,40.766155]}"
51,lagos-45163,4,2.0,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.180083,38.39173]}"
52,lagos-45164,76,47.0,17,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.896745,39.324774]}"
53,lagos-45165,80,41.5,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.988179,39.87022]}"
54,lagos-45166,24,14.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.353518,41.116386]}"
55,lagos-45167,61,40.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-79.036246,39.823756]}"
56,lagos-45168,23,5.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.683532,41.16583]}"
57,lagos-45169,77,46.0,30,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.213414,37.854368]}"
58,lagos-45170,17,11.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.669131,37.714537]}"
