system:index,SiteID,max,med,min,.geo
0,lagos-15112,85,59.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-96.141148,46.3208]}"
1,lagos-15113,86,74.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-95.725777,47.277977]}"
2,lagos-15114,87,79.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-95.043519,47.796399]}"
3,lagos-15115,85,60.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-96.029474,47.64079]}"
4,lagos-15116,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-96.020614,47.297824]}"
5,lagos-15117,5,4.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-95.836768,48.290809]}"
6,lagos-15118,94,92.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.877537,47.733599]}"
7,lagos-15119,78,42.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.815594,47.702023]}"
8,lagos-15120,91,87.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-96.238982,46.381867]}"
9,lagos-15121,49,28.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-95.53735,47.931063]}"
10,lagos-15122,72,20.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-96.187533,46.658173]}"
11,lagos-15123,75,48.5,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-96.005504,47.181569]}"
12,lagos-15124,95,70.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-95.618436,46.265856]}"
13,lagos-15125,3,3.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-95.42981,47.278991]}"
14,lagos-15126,92,86.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-96.219008,47.632499]}"
15,lagos-15127,95,90.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.802766,48.173109]}"
16,lagos-15128,81,54.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-89.270202,38.031533]}"
17,lagos-15129,,9.0,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.686328,48.105004]}"
18,lagos-15130,65,19.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.724147,48.48635]}"
19,lagos-15131,82,45.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.383366,47.699142]}"
20,lagos-15132,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.928978,47.989767]}"
21,lagos-15133,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.249125,47.811138]}"
22,lagos-15134,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.198491,48.451441]}"
23,lagos-15135,68,35.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.469762,47.600834]}"
