system:index,SiteID,max,med,min,.geo
0,lagos-60113,41,12.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.688595,37.669289]}"
1,lagos-60114,91,54.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.305299,37.992452]}"
2,lagos-60115,13,11.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.014644,38.130554]}"
3,lagos-60116,26,10.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.568837,38.120128]}"
4,lagos-60117,69,9.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.870536,38.391706]}"
5,lagos-60118,82,64.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.333268,38.722664]}"
6,lagos-60119,82,22.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.948353,38.016834]}"
7,lagos-60120,70,45.0,17,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.885125,37.722973]}"
8,lagos-60121,80,56.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.701477,37.937031]}"
9,lagos-60122,87,76.0,10,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.014846,38.982629]}"
10,lagos-60123,84,66.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.270913,38.803884]}"
11,lagos-60124,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.309007,39.325003]}"
12,lagos-60125,74,53.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.375086,38.412701]}"
13,lagos-60126,66,35.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.252506,38.46704]}"
14,lagos-60127,19,10.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.983675,38.919941]}"
15,lagos-60128,60,38.0,27,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.212733,38.742057]}"
16,lagos-60129,28,23.5,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.32273,39.165993]}"
17,lagos-60130,78,36.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.290895,38.789034]}"
18,lagos-60131,75,35.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.808334,38.804988]}"
19,lagos-60132,53,47.5,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.781562,38.799586]}"
20,lagos-60133,86,66.0,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.92625,39.151928]}"
21,lagos-60134,56,50.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.113223,39.02569]}"
22,lagos-60135,79,39.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.742152,39.100612]}"
23,lagos-60136,83,75.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.999011,39.245358]}"
24,lagos-60137,32,16.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.054041,38.967473]}"
25,lagos-60138,67,44.5,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.395668,38.920871]}"
26,lagos-60139,76,37.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-95.185878,39.595976]}"
27,lagos-60140,48,7.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.34106,35.728657]}"
28,lagos-60141,45,36.5,25,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.711951,35.932795]}"
29,lagos-60142,37,31.0,24,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-93.971999,35.902977]}"
30,lagos-60143,85,71.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.040488,36.21297]}"
31,lagos-60144,8,8.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.793297,37.378414]}"
32,lagos-60145,8,6.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.807978,37.357528]}"
33,lagos-60146,77,45.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.026416,37.276665]}"
34,lagos-60147,14,6.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.947712,36.803483]}"
35,lagos-60148,91,81.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-94.739891,36.789598]}"
