system:index,SiteID,max,med,min,.geo
0,lagos-75114,81,70.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.55286,40.152857]}"
1,lagos-75115,36,13.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.242861,39.429603]}"
2,lagos-75116,70,28.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.739973,40.719841]}"
3,lagos-75117,65,45.5,10,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.906006,39.23009]}"
4,lagos-75118,70,29.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.709207,39.285499]}"
5,lagos-75119,73,54.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.209207,38.798252]}"
6,lagos-75120,79,53.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.764366,40.22952]}"
7,lagos-75121,47,8.0,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.937053,38.144833]}"
8,lagos-75122,74,40.5,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.96801,39.688488]}"
9,lagos-75123,54,29.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.622095,38.728529]}"
10,lagos-75124,65,41.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.975769,38.746008]}"
11,lagos-75125,66,42.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.847069,38.783027]}"
12,lagos-75126,47,22.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.475496,40.768004]}"
13,lagos-75127,54,40.5,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-87.304143,39.297081]}"
14,lagos-75128,90,66.0,10,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.671428,40.125652]}"
15,lagos-75129,13,9.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-88.466688,39.274234]}"
16,lagos-75130,28,22.5,15,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-86.575429,41.11989]}"
17,lagos-75131,27,17.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.795006,41.074173]}"
18,lagos-75132,4,4.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-78.638765,42.035326]}"
19,lagos-75133,37,9.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.550132,41.132156]}"
20,lagos-75134,49,43.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-85.889741,40.944883]}"
