system:index,SiteID,max,med,min,.geo
0,lagos-55113,77,40.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.622538,41.92228]}"
1,lagos-55114,81,29.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.679318,41.402901]}"
2,lagos-55115,6,6.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-70.919377,42.190297]}"
3,lagos-55116,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.280594,41.365376]}"
4,lagos-55117,93,90.99999999999996,89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-72.37336,41.937709]}"
5,lagos-55118,91,86.99999999999999,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.189358,41.660306]}"
6,lagos-55119,23,8.0,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.632529,41.072552]}"
7,lagos-55120,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-72.953789,41.622135]}"
8,lagos-55121,51,19.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.475906,41.365772]}"
9,lagos-55122,63,35.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-72.138286,41.687255]}"
10,lagos-55123,87,67.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.022529,41.573834]}"
11,lagos-55124,77,25.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-72.873057,41.579932]}"
12,lagos-55125,59,47.0,5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.641054,41.149017]}"
13,lagos-55126,32,25.5,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.405571,41.595136]}"
14,lagos-55127,75,69.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.078048,41.343723]}"
15,lagos-55128,68,58.5,14,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.508583,41.167249]}"
16,lagos-55129,37,24.0,18,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.832283,41.790217]}"
17,lagos-55130,77,66.0,6,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.182641,43.790619]}"
18,lagos-55131,76,56.0,7,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.682957,44.038881]}"
19,lagos-55132,71,38.0,8,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.683055,43.478876]}"
20,lagos-55133,84,56.0,4,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.984979,43.011237]}"
21,lagos-55134,67,63.0,19,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.474169,42.127246]}"
22,lagos-55135,74,63.0,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.028503,43.732874]}"
23,lagos-55136,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.690588,43.102436]}"
24,lagos-55137,16,13.0,9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.183201,43.552721]}"
25,lagos-55138,,,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.169838,43.800304]}"
26,lagos-55139,81,75.0,24,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-73.715695,42.165034]}"
27,lagos-55140,48,35.5,13,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-74.989753,43.30225]}"
